"threshold","sensitivity","specificity"
0.00111666189749534,0.940298507462687,0.190182648401826
0.00111679232271886,0.940298507462687,0.190296803652968
0.00111689385333818,0.940298507462687,0.19041095890411
0.00111730848386323,0.940298507462687,0.190525114155251
0.00111776648452318,0.940298507462687,0.190639269406393
0.00111798680461781,0.940298507462687,0.190753424657534
0.00111858525025585,0.940298507462687,0.190867579908676
0.00111911441688304,0.940298507462687,0.190981735159817
0.00111933706173332,0.940298507462687,0.191095890410959
0.00111971472408939,0.940298507462687,0.191324200913242
0.00111999886081072,0.940298507462687,0.191438356164384
0.00112039886910443,0.940298507462687,0.191552511415525
0.00112098601406363,0.940298507462687,0.191666666666667
0.00112149598674816,0.940298507462687,0.191780821917808
0.00112183072159133,0.940298507462687,0.19189497716895
0.00112200237354166,0.940298507462687,0.192009132420091
